datetime,low,high,open,close,volumefrom,volumeto
2022-04-14 10:00:00,104.15,105.77,105.71,104.18,109713.35,11519765.29
2022-04-14 11:00:00,103.23,104.75,104.18,103.67,88308.45,9199250.74
2022-04-14 12:00:00,103.39,105.37,103.67,104.96,93153.93,9723265.59
2022-04-14 13:00:00,102.73,105.78,104.96,103.02,193322.81,20176048.55
2022-04-14 14:00:00,102.27,103.64,103.02,102.78,152717.42,15702312.41
2022-04-14 15:00:00,101.13,103.1,102.78,101.34,176745.2,18009867.58
2022-04-14 16:00:00,99.24,101.98,101.34,99.96,378370.33,37884153.78
2022-04-14 17:00:00,99.65,100.85,99.96,100.8,137074.85,13739307.29
2022-04-14 18:00:00,98.85,100.93,100.8,99.03,122078.05,12193745.1
2022-04-14 19:00:00,98.77,99.93,99.03,99.57,76316.94,7591732.61
2022-04-14 20:00:00,99.09,100.19,99.57,100.18,106240.47,10573771.83
2022-04-14 21:00:00,99.97,100.94,100.18,100.74,45399.75,4558956.79
2022-04-14 22:00:00,100.28,101.29,100.74,100.54,90752.9,9145684.91
2022-04-14 23:00:00,100.41,100.93,100.54,100.77,38749.27,3900886.08
2022-04-15 00:00:00,99.55,101.68,100.77,100.28,76517.2,7710589.58
2022-04-15 01:00:00,100.07,100.87,100.28,100.61,41459.29,4165900.96
2022-04-15 02:00:00,100.32,101.01,100.61,100.7,46902.73,4722695.59
2022-04-15 03:00:00,100.69,102.11,100.7,102.07,62810.88,6370392.51
2022-04-15 04:00:00,101.38,102.49,102.07,101.59,58468.62,5966506.0
2022-04-15 05:00:00,101.41,102.47,101.59,101.97,45236.06,4617352.47
2022-04-15 06:00:00,100.75,102.2,101.97,101.43,44156.7,4483388.76
2022-04-15 07:00:00,100.53,102.24,101.43,101.79,83162.83,8426726.95
2022-04-15 08:00:00,100.99,102.0,101.79,101.34,46585.98,4725168.55
2022-04-15 09:00:00,100.86,101.55,101.34,101.38,42230.52,4275546.27
2022-04-15 10:00:00,101.22,102.04,101.38,101.69,41047.71,4172398.85
2022-04-15 11:00:00,101.39,102.1,101.69,101.72,36639.4,3727247.01
2022-04-15 12:00:00,101.1,101.99,101.72,101.48,40094.03,4070502.32
2022-04-15 13:00:00,100.34,101.78,101.48,100.61,86672.52,8758476.07
2022-04-15 14:00:00,99.85,102.37,100.61,101.57,133798.84,13544869.48
2022-04-15 15:00:00,101.38,102.91,101.57,102.31,98548.83,10065461.69
2022-04-15 16:00:00,101.32,102.55,102.31,102.07,71971.5,7335831.66
2022-04-15 17:00:00,101.91,102.81,102.07,102.25,57086.83,5843307.2
2022-04-15 18:00:00,101.59,102.52,102.25,101.66,48662.54,4962504.65
2022-04-15 19:00:00,100.2,101.77,101.66,100.39,73400.97,7404891.06
2022-04-15 20:00:00,100.33,101.13,100.39,101.06,55124.67,5553997.67
2022-04-15 21:00:00,100.87,101.17,101.06,101.1,28240.83,2852830.54
2022-04-15 22:00:00,100.55,101.2,101.1,101.04,31815.68,3209560.51
2022-04-15 23:00:00,100.84,101.42,101.04,101.31,33855.21,3424999.33
2022-04-16 00:00:00,100.9,101.78,101.31,101.69,41833.51,4238076.88
2022-04-16 01:00:00,101.36,102.07,101.69,101.88,39887.79,4060691.81
2022-04-16 02:00:00,101.39,101.96,101.88,101.55,21504.54,2187119.72
2022-04-16 03:00:00,100.99,101.57,101.55,101.07,25096.65,2540382.4
2022-04-16 04:00:00,101.0,101.87,101.07,101.83,24064.13,2442561.79
2022-04-16 05:00:00,101.36,101.91,101.83,101.58,27788.71,2824896.12
2022-04-16 06:00:00,101.24,101.68,101.58,101.39,19825.85,2011365.75
2022-04-16 07:00:00,101.29,101.58,101.39,101.48,18852.34,1912729.76
2022-04-16 08:00:00,101.1,101.78,101.48,101.4,31613.93,3206751.67
2022-04-16 09:00:00,101.24,101.59,101.4,101.48,25105.1,2546397.31
2022-04-16 10:00:00,101.45,102.78,101.48,102.27,71352.42,7292741.05
2022-04-16 11:00:00,101.65,102.7,102.27,101.89,46395.38,4740940.38
2022-04-16 12:00:00,101.66,102.59,101.89,102.5,62354.48,6369284.5
2022-04-16 13:00:00,101.97,102.56,102.5,102.38,41033.88,4197689.08
2022-04-16 14:00:00,102.09,103.0,102.38,102.9,67687.02,6946099.49
2022-04-16 15:00:00,100.71,103.5,102.9,100.98,147854.24,15076097.34
2022-04-16 16:00:00,100.76,101.9,100.98,101.78,45983.4,4660442.68
2022-04-16 17:00:00,101.32,101.94,101.78,101.46,32319.91,3283042.66
2022-04-16 18:00:00,101.38,102.0,101.46,101.95,27397.82,2786890.7
2022-04-16 19:00:00,101.88,102.7,101.95,101.99,46374.04,4741232.45
2022-04-16 20:00:00,101.86,102.47,101.99,102.11,25548.74,2608295.73
2022-04-16 21:00:00,101.73,102.5,102.11,102.11,27064.42,2761542.87
2022-04-16 22:00:00,102.04,102.9,102.11,102.08,63621.54,6523831.61
2022-04-16 23:00:00,102.0,102.69,102.08,102.06,25656.52,2625849.8
2022-04-17 00:00:00,101.77,102.27,102.06,101.92,24349.63,2482706.89
2022-04-17 01:00:00,101.8,102.36,101.92,102.19,20466.73,2088949.08
2022-04-17 02:00:00,101.01,102.27,102.19,101.25,45955.11,4663852.09
2022-04-17 03:00:00,101.07,101.72,101.25,101.51,28053.83,2845996.67
2022-04-17 04:00:00,101.4,101.91,101.51,101.53,33502.81,3404786.35
2022-04-17 05:00:00,101.34,102.25,101.53,101.94,32302.12,3289486.25
2022-04-17 06:00:00,101.78,102.16,101.94,102.09,19905.49,2030525.21
2022-04-17 07:00:00,101.64,102.2,102.09,101.89,28365.6,2890801.63
2022-04-17 08:00:00,101.81,102.19,101.89,102.02,28012.41,2857757.99
2022-04-17 09:00:00,101.9,102.5,102.02,101.99,40761.43,4167234.38
2022-04-17 10:00:00,101.98,102.3,101.99,102.22,24963.38,2549706.37
2022-04-17 11:00:00,101.87,102.5,102.22,102.44,38188.49,3900917.94
2022-04-17 12:00:00,102.33,102.78,102.44,102.63,42230.27,4331828.62
2022-04-17 13:00:00,102.46,104.55,102.63,103.59,164582.47,17050913.95
2022-04-17 14:00:00,103.27,104.64,103.59,104.5,95325.9,9926864.41
2022-04-17 15:00:00,104.07,105.28,104.5,105.11,84633.84,8863329.58
2022-04-17 16:00:00,104.38,105.44,105.11,104.51,81969.48,8603172.2
2022-04-17 17:00:00,103.53,104.94,104.51,103.83,80196.79,8369245.58
2022-04-17 18:00:00,102.76,103.9,103.83,103.06,119778.61,12353903.18
2022-04-17 19:00:00,102.87,104.61,103.06,104.07,79906.06,8294311.09
2022-04-17 20:00:00,103.07,104.26,104.07,103.18,69797.9,7237832.85
2022-04-17 21:00:00,102.11,103.27,103.18,102.77,35921.49,3690194.51
2022-04-17 22:00:00,101.74,103.17,102.77,101.98,86642.72,8881346.89
2022-04-17 23:00:00,99.62,102.01,101.98,100.15,203987.48,20495899.02
2022-04-18 00:00:00,99.87,101.0,100.15,100.46,92356.08,9273305.06
2022-04-18 01:00:00,100.27,100.96,100.46,100.69,58553.14,5891280.79
2022-04-18 02:00:00,100.6,101.5,100.69,101.35,37622.33,3805092.54
2022-04-18 03:00:00,101.02,101.74,101.35,101.18,38117.6,3860770.44
2022-04-18 04:00:00,95.03,101.32,101.18,95.5,371003.25,36169683.95
2022-04-18 05:00:00,95.04,97.18,95.5,96.91,157154.56,15115290.54
2022-04-18 06:00:00,96.8,97.72,96.91,96.97,74774.39,7268637.83
2022-04-18 07:00:00,95.48,97.22,96.97,96.43,122487.65,11817749.18
2022-04-18 08:00:00,95.33,96.8,96.43,95.46,82600.59,7943598.17
2022-04-18 09:00:00,94.62,96.8,95.46,96.78,120662.41,11533341.91
2022-04-18 10:00:00,96.38,97.03,96.78,96.4,79450.31,7687229.36
2022-04-18 11:00:00,96.4,97.28,96.4,96.79,66998.32,6491999.26
2022-04-18 12:00:00,96.78,98.74,96.79,98.43,130999.69,12843039.53
2022-04-18 13:00:00,97.81,99.1,98.43,98.08,171847.34,16921737.08
2022-04-18 14:00:00,97.9,99.19,98.08,98.86,129509.5,12778041.83
2022-04-18 15:00:00,97.9,99.1,98.86,98.66,87722.27,8641201.57
2022-04-18 16:00:00,97.1,99.3,98.66,98.74,138259.94,13577967.08
2022-04-18 17:00:00,98.7,101.17,98.74,101.06,195448.25,19568178.4
2022-04-18 18:00:00,100.99,102.41,101.06,101.51,192072.63,19528907.64
2022-04-18 19:00:00,100.44,101.7,101.51,101.18,118207.87,11943029.81
2022-04-18 20:00:00,100.99,101.83,101.18,101.33,86410.83,8758790.42
2022-04-18 21:00:00,101.3,102.38,101.33,101.75,56141.95,5717506.85
2022-04-18 22:00:00,101.27,102.65,101.75,102.44,79777.27,8130266.36
2022-04-18 23:00:00,101.62,102.56,102.44,102.33,63256.66,6464161.17
2022-04-19 00:00:00,102.22,103.74,102.33,103.74,155656.5,16041599.39
2022-04-19 01:00:00,102.14,103.79,103.74,102.33,88249.06,9078363.48
2022-04-19 02:00:00,101.32,102.54,102.33,101.47,60573.07,6174868.45
2022-04-19 03:00:00,101.2,102.02,101.47,101.42,62948.03,6399104.09
2022-04-19 04:00:00,101.02,102.58,101.42,102.54,69689.98,7095559.31
2022-04-19 05:00:00,101.46,102.59,102.54,101.46,40140.88,4093397.25
2022-04-19 06:00:00,101.44,102.29,101.46,101.95,47966.05,4886865.95
2022-04-19 07:00:00,101.34,102.23,101.95,101.85,68932.78,7019807.3
2022-04-19 08:00:00,101.77,102.53,101.85,102.19,62971.22,6438790.49
2022-04-19 09:00:00,101.48,102.5,102.19,101.56,71824.45,7320413.41
2022-04-19 10:00:00,101.24,102.58,101.56,102.5,116038.43,11831880.47
2022-04-19 11:00:00,102.33,103.56,102.5,102.34,113251.6,11666659.03
2022-04-19 12:00:00,102.28,103.72,102.34,103.64,117371.29,12123375.87
2022-04-19 13:00:00,103.22,106.38,103.64,106.32,235106.77,24599302.36
2022-04-19 14:00:00,106.12,107.44,106.32,106.71,263176.75,28120358.59
2022-04-19 15:00:00,106.07,108.58,106.71,106.46,205893.13,22053424.76
2022-04-19 16:00:00,105.41,106.99,106.46,105.9,160620.08,17054788.25
2022-04-19 17:00:00,105.28,106.49,105.9,106.25,122616.27,12985970.85
2022-04-19 18:00:00,105.8,106.4,106.25,106.18,85000.62,9020372.46
2022-04-19 19:00:00,106.04,107.19,106.18,106.92,96691.44,10320346.39
2022-04-19 20:00:00,105.8,108.27,106.92,108.27,163659.46,17474335.25
2022-04-19 21:00:00,106.8,108.3,108.27,107.08,77724.47,8372919.16
2022-04-19 22:00:00,106.73,108.81,107.08,107.86,104540.14,11294855.71
2022-04-19 23:00:00,107.76,109.0,107.86,108.51,84717.96,9187327.78
2022-04-20 00:00:00,107.2,109.5,108.51,107.83,164540.34,17843326.09
2022-04-20 01:00:00,107.05,108.3,107.83,108.2,95661.07,10325094.63
2022-04-20 02:00:00,107.87,108.85,108.2,108.27,108481.33,11752360.49
2022-04-20 03:00:00,107.89,108.79,108.27,108.29,70742.01,7664751.25
2022-04-20 04:00:00,107.39,108.6,108.29,107.68,69899.68,7546699.47
2022-04-20 05:00:00,107.37,108.31,107.68,107.98,60902.61,6569837.29
2022-04-20 06:00:00,107.39,108.22,107.98,107.98,61325.8,6611867.8
2022-04-20 07:00:00,106.67,108.48,107.98,107.01,106106.59,11415463.1
2022-04-20 08:00:00,106.61,107.74,107.01,107.63,60549.9,6492234.87
2022-04-20 09:00:00,107.4,108.8,107.63,108.5,96316.2,10407648.86
2022-04-20 10:00:00,108.05,110.0,108.5,109.99,145278.84,15882524.31
2022-04-20 11:00:00,109.29,110.9,109.99,110.42,184331.21,20311731.82
2022-04-20 12:00:00,109.37,110.74,110.42,109.97,125531.79,13805213.82
2022-04-20 13:00:00,107.43,110.4,109.97,108.36,282211.3,30695423.68
2022-04-20 14:00:00,106.76,108.46,108.36,106.88,182413.72,19659870.46
2022-04-20 15:00:00,104.75,106.93,106.88,105.72,269351.46,28430299.14
2022-04-20 16:00:00,104.81,106.58,105.72,106.49,138197.09,14614751.72
2022-04-20 17:00:00,105.85,106.67,106.49,106.46,64466.24,6853153.77
2022-04-20 18:00:00,104.25,106.46,106.46,104.82,117708.76,12378287.03
2022-04-20 19:00:00,104.69,106.23,104.82,106.04,82147.98,8669567.41
2022-04-20 20:00:00,105.67,107.5,106.04,107.08,101117.01,10782099.66
2022-04-20 21:00:00,106.71,107.55,107.08,107.11,44303.21,4744445.53
2022-04-20 22:00:00,106.47,107.59,107.11,106.47,57958.64,6205214.71
2022-04-20 23:00:00,105.0,106.58,106.47,105.59,78614.03,8312464.11
